pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,cloud and solar data,GH1,solarad_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the hourly average solar radiation. Most users will find the preceding quality code SOLARAD_QC to be the simplest and most useful quality indicator.,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,cloud and solar data,GH1,solarad_min,minimum solar radiation,5,00000,0,99998,99998,watts per square meter,10,10,99999,99999,The minimum 10 second solar radiation for the hour.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GH1,solarad_min_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the hourly minimum solar radiation.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GH1,solarad_min_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the hourly minimum solar radiation. Most users will find the preceding quality code SOLARAD_MIN_QC to be the simplest and most useful quality,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,cloud and solar data,GH1,solarad_max,maximum solar radiation,5,00000,0,99998,99998,watts per square meter,10,10,99999,99999,The maximum 10 second solar radiation for the hour.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GH1,solarad_max_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the hourly maximum solar radiation.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GH1,solarad_max_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of the hourly maximum solar radiation.,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,cloud and solar data,GH1,solarad_std,solar radiation standard deviation,5,00000,0,99998,99998,NA,10,10,99999,99999,The hourly 10 second hourly solar radiation standard deviation.,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GH1,solarad_std_qc,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that indicates ISD’s evaluation of the quality status of the hourly solar radiation standard deviation.,A specific domain comprised of the numeric characters (0-9). 1 = Passed all quality control checks 3 = Failed all quality control checks 9 = Missing,"{""1"":""Passed all quality control checks"",""3"":""Failed all quality control checks"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GH1,solarad_std_flag,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that indicates the network’s internal evaluation of the quality status of hourly solar radiation standard deviation. Most users will find the preceding quality code SOLARAD_STD_QC to be the simplest and most,A specific domain comprised of the numeric characters (0-9). 0 = Passed all quality control checks other  Did not pass all quality checks,"{""0"":""Passed all quality control checks other Did not pass all quality checks""}"
NA,additional-data section,cloud and solar data,GJ1,sunshine observation,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the availability of sunshine information.,A specific domain comprised of the ASCII characters GJ1 An indicator of the occurrence of the following items: SUNSHINE-OBSERVATION sunshine duration quantity SUNSHINE-OBSERVATION sunshine duration quality code,"{""items"":""SUNSHINE-OBSERVATION sunshine duration quantity SUNSHINE-OBSERVATION sunshine duration quality code""}"
NA,additional-data section,cloud and solar data,GJ1,sunshine observation,sunshine duration quantity,4,0000,0,6000,6000,minutes,NA,NA,9999,9999,The quantity of time sunshine occurred over the reporting period.,A general domain comprised of the ASCII characters 0-9. 9999 = Missing 67,"{""9999"":""Missing 67""}"
NA,additional-data section,cloud and solar data,GJ1,sunshine observation,sunshine duration quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported SUNSHINE-OBSERVATION sunshine duration.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source M = Manual change made to value based on information provided by NWS or FAA 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""M"":""Manual change made to value based on information provided by NWS or FAA"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,cloud and solar data,GK1,sunshine observation,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the availability of percent of possible sunshine information.,A specific domain comprised of the ASCII characters GK1 An indicator of the occurrence of the following items: SUNSHINE-OBSERVATION percent of possible sunshine quantity SUNSHINE-OBSERVATION percent of possible sunshine quality code,"{""items"":""SUNSHINE-OBSERVATION percent of possible sunshine quantity SUNSHINE-OBSERVATION percent of possible sunshine quality code""}"
NA,additional-data section,cloud and solar data,GK1,sunshine observation,percent of possible sunshine quantity,3,000,0,100,100,percentage,NA,NA,999,999,The percent of possible sunshine that occurred over the previous 24-hour period.,A general domain comprised of the ASCII characters 0-9. 999 = Missing.,"{""999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GK1,sunshine observation,percent of possible sunshine quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported SUNSHINE-OBSERVATION percent of possible sunshine.,"A specific domain comprised of the characters in the ASCII character set. 4 = Passed gross limits check, data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source M = Manual change made to value based on information provided by NWS or FAA 9 = Passed gross limits check if element is present","{""4"":""Passed gross limits check, data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""M"":""Manual change made to value based on information provided by NWS or FAA"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,cloud and solar data,GL1,sunshine observation for the month,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the availability of sunshine information.,A specific domain comprised of the ASCII characters GL1 An indicator of the occurrence of the following items: SUNSHINE-OBSERVATION sunshine duration quantity SUNSHINE-OBSERVATION sunshine duration quality code,"{""items"":""SUNSHINE-OBSERVATION sunshine duration quantity SUNSHINE-OBSERVATION sunshine duration quality code""}"
NA,additional-data section,cloud and solar data,GL1,sunshine observation for the month,sunshine duration quantity,5,00000,0,30000,30000,minutes,NA,NA,99999,99999,The quantity of time sunshine occurred over the reporting period.,A general domain comprised of the ASCII characters 0-9. 99999 = Missing 68,"{""99999"":""Missing 68""}"
NA,additional-data section,cloud and solar data,GL1,sunshine observation for the month,sunshine duration quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported SUNSHINE-OBSERVATION sunshine duration.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check, data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check, data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,cloud and solar data,GM1,solar irradiance section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an observation of solar irradiance data integrated over the specified time period.,A specific domain comprised of the characters in the ASCII character set. GM1 An indicator of the following items: Solar irradiance data time period Global irradiance Global irradiance data flag Global irradiance quality code Direct beam irradiance Direct beam irradiance data flag Direct beam irradiance quality code Diffuse irradiance Diffuse irradiance data flag Diffuse irradiance quality code UVB global irradiance UVB global irradiance data flag UVB global irradiance quality code,"{""items"":""Solar irradiance data time period Global irradiance Global irradiance data flag Global irradiance quality code Direct beam irradiance Direct beam irradiance data flag Direct beam irradiance quality code Diffuse irradiance Diffuse irradiance data flag Diffuse irradiance quality code UVB global irradiance UVB global irradiance data flag UVB global irradiance quality code""}"
NA,additional-data section,cloud and solar data,GM1,NA,NA,4,0001,1,9998,9998,Minutes,NA,NA,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes DOM: A general domain comprised of the numeric characters (0-9).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GM1,global irradiance,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,Global horizontal irradiance measured using a pyranometer. Unit is watts per square meter (W/m2) in whole values. Waveband ranges from 0.4 - 2.3 micrometers.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GM1,global irradiance,data flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides additional information regarding the global irradiance data.,"A specific domain comprised of the numeric characters (00-99). 00 = Untested (raw data) 01 = Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd 02 = Passed two-component test; data fall within 0.03 of the Gompertz boundaries 03 = Passed three-component test; data come within + 0.03 of satisfying Kt = Kn + Kd 04 = Passed visual inspection: not used by SERI_QC1 05 = Failed visual inspection: not used by SERI_QC1 69 06 = Value estimated; passes all pertinent SERI_QC tests 07 = Failed one-component test; lower than allowed minimum 08 = Failed one-component test; higher than allowed maximum 09 = Passed three-component test but failed two-component test by 0.05 10-93 = Failed two- or three- component tests in one of four ways. 94-97 = Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97). 98 = Not used 99 = Missing data","{""00"":""Untested (raw data)"",""01"":""Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd"",""02"":""Passed two-component test; data fall within 0.03 of the Gompertz boundaries"",""03"":""Passed three-component test; data come within + 0.03 of satisfying"",""Kt"":""Kn + Kd"",""04"":""Passed visual ins"",""pection"":""not used by SERI_QC1"",""05"":""Failed visual ins"",""pection.1"":""not used by SERI_QC1 69"",""06"":""Value estimated; passes all pertinent SERI_QC tests"",""07"":""Failed one-component test; lower than allowed minimum"",""08"":""Failed one-component test; higher than allowed maximum"",""09"":""Passed three-component test but failed two-component test by 0.05 10-"",""93"":""Failed two- or three- component tests in one of four ways. 94-"",""97"":""Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97)."",""98"":""Not used"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GM1,global irradiance,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported global irradiance value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GM1,direct beam irradiance,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,Direct beam irradiance measured using a pyrheliometer or other instrument. Unit is watts per square meter (W/m2) in whole values. Waveband ranges from 0.4 - 2.3 micrometers.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GM1,direct beam irradiance,data flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides additional information regarding the direct beam irradiance data.,"A specific domain comprised of the numeric characters (00-99). 00 = Untested (raw data) 01 = Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd 02 = Passed two-component test; data fall within 0.03 of the Gompertz boundaries 03 = Passed three-component test; data come within + 0.03 of satisfying Kt = Kn + Kd 04 = Passed visual inspection: not used by SERI_QC1 05 = Failed visual inspection: not used by SERI_QC1 06 = Value estimated; passes all pertinent SERI_QC tests 07 = Failed one-component test; lower than allowed minimum 08 = Failed one-component test; higher than allowed maximum 09 = Passed three-component test but failed two-component test by 0.05 10-93 = Failed two- or three- component tests in one of four ways. 94-97 = Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97). 98 = Not used 99 = Missing data","{""00"":""Untested (raw data)"",""01"":""Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd"",""02"":""Passed two-component test; data fall within 0.03 of the Gompertz boundaries"",""03"":""Passed three-component test; data come within + 0.03 of satisfying"",""Kt"":""Kn + Kd"",""04"":""Passed visual ins"",""pection"":""not used by SERI_QC1"",""05"":""Failed visual ins"",""pection.1"":""not used by SERI_QC1"",""06"":""Value estimated; passes all pertinent SERI_QC tests"",""07"":""Failed one-component test; lower than allowed minimum"",""08"":""Failed one-component test; higher than allowed maximum"",""09"":""Passed three-component test but failed two-component test by 0.05 10-"",""93"":""Failed two- or three- component tests in one of four ways. 94-"",""97"":""Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97)."",""98"":""Not used"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GM1,direct beam irradiance,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported direct beam irradiance value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 70 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous 70"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GM1,diffuse irradiance,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,Diffuse irradiance measured using a pyranometer under a shading device. Unit is watts per square meter (W/m2) in whole values. Waveband ranges from 0.4 - 2.3 micrometers. Instrument is mounted under a shadowband.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GM1,diffuse irradiance,data flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides additional information regarding the diffuse irradiance data.,"A specific domain comprised of the numeric characters (00-99). 00 = Untested (raw data) 01 = Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd 02 = Passed two-component test; data fall within 0.03 of the Gompertz boundaries 03 = Passed three-component test; data come within + 0.03 of satisfying Kt = Kn + Kd 04 = Passed visual inspection: not used by SERI_QC1 05 = Failed visual inspection: not used by SERI_QC1 06 = Value estimated; passes all pertinent SERI_QC tests 07 = Failed one-component test; lower than allowed minimum 08 = Failed one-component test; higher than allowed maximum 09 = Passed three-component test but failed two-component test by 0.05 10-93 = Failed two- or three- component tests in one of four ways. 94-97 = Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97). 98 = Not used 99 = Missing data","{""00"":""Untested (raw data)"",""01"":""Passed one-component test; data fall within max-min limits of Kt, Kn, or Kd"",""02"":""Passed two-component test; data fall within 0.03 of the Gompertz boundaries"",""03"":""Passed three-component test; data come within + 0.03 of satisfying"",""Kt"":""Kn + Kd"",""04"":""Passed visual ins"",""pection"":""not used by SERI_QC1"",""05"":""Failed visual ins"",""pection.1"":""not used by SERI_QC1"",""06"":""Value estimated; passes all pertinent SERI_QC tests"",""07"":""Failed one-component test; lower than allowed minimum"",""08"":""Failed one-component test; higher than allowed maximum"",""09"":""Passed three-component test but failed two-component test by 0.05 10-"",""93"":""Failed two- or three- component tests in one of four ways. 94-"",""97"":""Data fails into physically impossible region where Kn > Kt by K-space distances of 0.05 to 0.10 (94), 0.10 to 0.15 (95), 0.15 to 0.20 (96), and > 0.20 (97)."",""98"":""Not used"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GM1,diffuse irradiance,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported diffuse irradiance value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GM1,UVB global irradiance,NA,4,0000,0,9998,9998,milli-watts per square meter,1,1,9999,9999,Ultra-violet global irradiance measured using a Ultra-violet Biometer (Solar Light). Unit is milli-watts per square meter (mW/m2) of erythema effective irradiance in whole values. Waveband ranges from 290-320 nanometers.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GM1,UVB global irradiance,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported UVB global irradiance value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing 71,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing 71""}"
NA,additional-data section,cloud and solar data,GN1,solar radiation section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an observation of solar radiation data.,A specific domain comprised of the characters in the ASCII character set. GN1 An indicator of the following items: Solar radiation data time period Upwelling global solar radiation Upwelling global solar radiation quality code Downwelling thermal infrared radiation Downwelling thermal infrared radiation quality code Upwelling thermal infrared radiation Upwelling thermal infrared radiation quality code Photosynthetically active radiation Photosynthetically active radiation quality code Solar zenith angle Solar zenith angle quality code,"{""items"":""Solar radiation data time period Upwelling global solar radiation Upwelling global solar radiation quality code Downwelling thermal infrared radiation Downwelling thermal infrared radiation quality code Upwelling thermal infrared radiation Upwelling thermal infrared radiation quality code Photosynthetically active radiation Photosynthetically active radiation quality code Solar zenith angle Solar zenith angle quality code""}"
NA,additional-data section,cloud and solar data,GN1,NA,NA,4,0001,1,9998,9998,Minutes,NA,NA,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes DOM: A general domain comprised of the numeric characters (0-9).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,upwelling global solar radiation,NA,4,0000,0,9998,9998,milli-watts per square meter,1,1,9999,9999,Global radiation measured using an Epply Precision Spectral Pyranometer mounted upside down ten meters above the surface on a meteorological tower. Unit is milli-watts per square meter (mW/m2). Waveband ranges from 270 to 3000,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,upwelling global solar radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported upwelling global solar radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GN1,downwelling global solar radiation,NA,4,0000,0,9998,9998,milli-watts per square meter,1,1,9999,9999,"Infrared radiation measured using an Epply Precision Infrared Radiometer mounted upright ten meters above the surface on a meteorological tower. Unit is milli-watts per square meter (mW/m2). Waveband ranges from 3000 to 50,000",A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,downwelling global solar radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported downwelling thermal infrared radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 72 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks 72"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GN1,downwelling thermal infrared radiation,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,"Infrared radiation measured using an Epply Precision Infrared Radiometer mounted upside-down ten meters above the surface on a meteorological tower. Unit is Watts per meter per meter (mW/m2). Waveband ranges from 3000 to 50,000",A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,downwelling thermal infrared radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported upwelling thermal infrared radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GN1,upwelling thermal infrared radiation,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,"The PAR sensor measures global solar radiation from 400 to 700 nm in Watts per square meter (mW/m2), which approximates the spectral band active in photosynthesis.",A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,upwelling thermal infrared radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported photosynthetically active radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GN1,photosynthetically active radiation,NA,3,000,0,998,998,angular degrees,1,1,999,999,"The Solar Zenith Angle is the angle in degrees between the sun and the perpendicular to the earth’s surface. At sunrise it is 90 degrees, at noon it is a function of latitude, and at sunset it is again 90 degrees. Below the horizon value is 100.",A general domain comprised of the numeric characters (0-9). 999 = Missing.,"{""999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GN1,photosynthetically active radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported solar zenith angle value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing 73,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing 73""}"
NA,additional-data section,cloud and solar data,GO1,net solar section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates an observation of net solar radiation data.,A specific domain comprised of the characters in the ASCII character set. GO1 An indicator of the following items: Net solar radiation data time period Net solar radiation Net solar radiation quality code Net infrared radiation Net infrared radiation quality code Net radiation Net radiation quality code,"{""items"":""Net solar radiation data time period Net solar radiation Net solar radiation quality code Net infrared radiation Net infrared radiation quality code Net radiation Net radiation quality code""}"
NA,additional-data section,cloud and solar data,GO1,NA,NA,4,0001,1,9998,9998,Minutes,NA,NA,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes DOM: A general domain comprised of the numeric characters (0-9).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GO1,net solar radiation,NA,4,-999,-999,9998,9998,watts per square meter,1,1,9999,9999,"The difference between global radiation and upwelling global radiation measured in Watts per square meter (W/m2). If negative, left most position contains a ""-"" sign.",A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GO1,net solar radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported net solar radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GO1,net infrared radiation,NA,4,-999,-999,9998,9998,watts per square meter,1,1,9999,9999,"The difference between downwelling infrared and upwelling infrared measured in Watts per square meter (W/m2). If negative, left most position contains a ""-"" sign.",A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GO1,net infrared radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported net infrared radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GO1,net radiation,NA,4,-999,-999,9998,9998,watts per square meter,1,1,9999,9999,The total of Net Solar and Net Infrared radiation measured in Watts per square meter (W/m2).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GO1,net radiation,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the reported net radiation value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GP1,modeled solar irradiance section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that indicates modeled broadband solar irradiance data integrated over the specified time period.,A specific domain comprised of the characters in the ASCII character set. GP1 An indicator of the following items: Modeled solar irradiance data time period Modeled global horizontal Modeled global horizontal source flag Modeled global horizontal uncertainty Modeled direct normal Modeled direct normal source flag Modeled direct normal uncertainty Modeled diffuse horizontal Modeled diffuse horizontal source flag Modeled diffuse horizontal uncertainty,"{""items"":""Modeled solar irradiance data time period Modeled global horizontal Modeled global horizontal source flag Modeled global horizontal uncertainty Modeled direct normal Modeled direct normal source flag Modeled direct normal uncertainty Modeled diffuse horizontal Modeled diffuse horizontal source flag Modeled diffuse horizontal uncertainty""}"
